codigo,categoria,unidad,descripcion_corta,descripcion_detallada,mano_de_obra,maquinaria,materiales_y_otros,precio_total,tags,tipo,fecha
A#,General,,AUXILIARES,AUXILIARES,0.0,0.0,0.0,0.0,"auxiliar, ",Capítulo,2000-01-31
A01#,AUXILIARES,,PASTAS Y LECHADAS,PASTAS Y LECHADAS,0.0,0.0,0.0,0.0,"lechada, pasta, ",Capítulo,2000-01-31
A01A#,PASTAS Y LECHADAS,,PASTAS,PASTAS,0.0,0.0,0.0,0.0,"pasta, ",Capítulo,2000-01-31
A01A005,PASTAS Y LECHADAS,m3,PASTA DE CAL APAGADA EN POLVO,"Pasta de cal viva apagada, amasada manualmente.",32.73,0.0,28.33,61.05,"polvo, cal, amasado, manual, pasta, vivo, apagado, ",Partida,2000-01-31
A01A010,PASTAS Y LECHADAS,m3,PASTA DE CAL APAGADA AMASADA,"Pasta de cal viva apagada, amasada manualmente.",32.73,0.0,28.33,61.05,"amasado, apagado, vivo, manual, cal, pasta, ",Partida,2000-01-31
A01A012,PASTAS Y LECHADAS,m3,PASTA DE CAL GRASA AMASADA,"Pasta de cal grasa apagada en pasta, obtenida por fusión en balsas y dejando reposar antes de su utilización durante 4 semanas.",39.57,0.0,61.38,100.95,"amasado, apagado, cal, pasta, ",Partida,2000-01-31
A01A015,PASTAS Y LECHADAS,m3,CAL GRASA APAGADA EN PASTA,"Cal grasa apagada en balsas por el procedimiento de fusión, almacenada en fosas durante 4-5 semanas y suministrada en pasta.",52.76,97.52,23.66,173.94,"almacenar, apagado, suministro, foso, cal, pasta, ",Partida,2000-01-31
A01A020,PASTAS Y LECHADAS,m3,PASTA DE ESCAYOLA,Pasta de escayola amasada manualmente s/RY-85.,32.73,0.0,41.75,74.48,"manual, pasta, amasado, escayola, ",Partida,2000-01-31
A01A030,PASTAS Y LECHADAS,m3,PASTA DE YESO NEGRO,Pasta de yeso negro amasado manualmente s/RY-85.,32.73,0.0,42.54,75.27,"negro, amasado, yeso, pasta, manual, ",Partida,2000-01-31
A01A040,PASTAS Y LECHADAS,m3,PASTA DE YESO BLANCO,"Pasta de yeso blanco amasado manualmente, s/RY-85.",32.73,0.0,51.87,84.6,"blanco, pasta, amasado, yeso, manual, ",Partida,2000-01-31
A01A050,PASTAS Y LECHADAS,m3,YESO PARA PROYECTAR,"Pasta de yeso y aditivos especial para proyectar, amasado a mano, s/RY-85.",32.73,0.0,51.43,84.15,"aditivo, mano, amasado, especial, pasta, yeso, proyección, ",Partida,2000-01-31
A01A060,PASTAS Y LECHADAS,m3,"PASTA CEMENTO CEM II/B-P 32,5 N","Pasta de cemento CEM II/B-P 32,5 N, amasado a mano, s/RC-03.",32.73,0.0,128.88,161.61,"amasado, mano, cemento, pasta, ",Partida,2000-01-31
A01A061,PASTAS Y LECHADAS,m3,"PASTA CEMENTO CEM II/A-P 42,5 R","Pasta de cemento CEM II/A-P 42,5 R, amasado a mano, s/RC-03.",32.73,0.0,124.54,157.26,"amasado, cemento, pasta, mano, ",Partida,2000-01-31
A01A070,PASTAS Y LECHADAS,m3,"PASTA CEMENTO BLANCO BL-V 22,5","Pasta de cemento blanco BL 22,5 X amasado a mano, s/RC-03.",32.73,0.0,189.13,221.86,"amasado, mano, cemento, blanco, pasta, ",Partida,2000-01-31
A01A080,PASTAS Y LECHADAS,m3,"PASTA CEMENTO BLANCO BL-II/A-L 42,5 R","Pasta de cemento blanco BL-II/A-L 42,5 R, amasado a mano, s/RC-03.",32.73,0.0,209.95,242.67,"amasado, cemento, pasta, blanco, mano, ",Partida,2000-01-31
A01L#,PASTAS,,LECHADAS,LECHADAS,0.0,0.0,0.0,0.0,"lechada, ",Capítulo,2000-01-31
A01L010,PASTAS,m3,LECHADA CAL VIVA APAGADA,"Cal viva apagada en lechada, amasada manualmente.",26.18,0.0,24.46,50.64,"amasado, apagado, vivo, manual, cal, lechada, ",Partida,2000-01-31
A01L020,PASTAS,m3,"LECHADA CEMENTO 1/2 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/2, amasada a mano, s/RC-03.",26.18,0.0,41.06,67.24,"cemento, amasado, mano, lechada, ",Partida,2000-01-31
A01L030,PASTAS,m3,"LECHADA CEMENTO 1/3 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/3, amasado a mano, s/RC-03.",26.18,0.0,34.91,61.09,"amasado, mano, cemento, lechada, ",Partida,2000-01-31
A01L040,PASTAS,m3,"LECHADA CEMENTO 1/4 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/4, amasado a mano, s/RC-03.",26.18,0.0,29.21,55.39,"amasado, mano, cemento, lechada, ",Partida,2000-01-31
